Algoritmo,Métrica,Média,Mediana,Desvio Padrão
Primos até N,tempo,0.0005366939499845103,0.0005273960000522493,4.760048354981024e-05
Primos até N,energia,0.013767050000000001,0.017363999999999997,0.0135821366123696
Primos até N,potencia,25.892044833827732,33.214577791267374,25.569307148413987
Fatorial de N,tempo,0.0005713220599864144,0.0005548170001929975,5.027437104724661e-05
Fatorial de N,energia,0.01145505,0.016357499999999997,0.010668227685373503
Fatorial de N,potencia,20.007582982789888,28.778956928276408,18.557098868522782
Multiplicação de matrizes,tempo,0.05201799609998943,0.05099855550020038,0.0023461222163608394
Multiplicação de matrizes,energia,1.0567966000000002,0.9973425,0.13649314017513367
Multiplicação de matrizes,potencia,20.270425041037623,19.44254709001378,1.919964140548087
Ordenação de lista,tempo,0.001956704110011742,0.001908578500206204,0.0002624554254708137
Ordenação de lista,energia,0.04399279999999999,0.0414125,0.018233580233772362
Ordenação de lista,potencia,22.19865328526082,22.01791650968685,6.63523233658888
Busca binária,tempo,2.4549049985580496e-05,2.403350026725093e-05,2.146953548491562e-06
Busca binária,energia,0.0,0.0,0.0
Busca binária,potencia,0.0,0.0,0.0
Cálculo de PI,tempo,0.2498201319000236,0.1971960170001239,0.10256231291038728
Cálculo de PI,energia,3.4498660500000007,3.595694,0.7887336526721443
Cálculo de PI,potencia,15.190571678748213,18.456914440240958,5.057814075735857
